ID,Use for zillow scrape
13450,"https://www.zillow.com/homes/113-NULL-GORNTO-LAKE-RD-NULL-BRANDON,-FL-_rb/"
13491,"https://www.zillow.com/homes/905-NULL-BROOKER-RD-NULL-BRANDON,-FL-_rb/"
13704,"https://www.zillow.com/homes/4203-FOXMOOR-DR-CHARLOTTE,-NC-801_rb/"
13705,"https://www.zillow.com/homes/323-DOVER-AV-CHARLOTTE,-NC-3874_rb/"
13706,"https://www.zillow.com/homes/2420-KINGSBURY-DR-CHARLOTTE,-NC-8051_rb/"
13707,"https://www.zillow.com/homes/3345-CORNISH-PL-CHARLOTTE,-NC-16415_rb/"
13708,"https://www.zillow.com/homes/1418-THE-PLAZA-CHARLOTTE,-NC-18510_rb/"
13709,"https://www.zillow.com/homes/300-DOVER-AV-CHARLOTTE,-NC-20005_rb/"
13710,"https://www.zillow.com/homes/5026-ALLISON-AV-CHARLOTTE,-NC-21224_rb/"
13711,"https://www.zillow.com/homes/1024-SEWICKLEY-DR-CHARLOTTE,-NC-22003_rb/"
13712,"https://www.zillow.com/homes/3318-ANSON-ST-CHARLOTTE,-NC-22079_rb/"
13713,"https://www.zillow.com/homes/5839-WEDGEWOOD-DR-CHARLOTTE,-NC-22902_rb/"
13714,"https://www.zillow.com/homes/2024-STRATFORD-AV-CHARLOTTE,-NC-23116_rb/"
13715,"https://www.zillow.com/homes/109-N-SARDIS-VIEW-LN-CHARLOTTE,-NC-23219_rb/"
13716,"https://www.zillow.com/homes/5540-MURRAYHILL-RD-CHARLOTTE,-NC-27511_rb/"
13717,"https://www.zillow.com/homes/3622-SEVERN-AV-CHARLOTTE,-NC-27514_rb/"
13718,"https://www.zillow.com/homes/1836-TAMWORTH-DR-CHARLOTTE,-NC-27517_rb/"
13719,"https://www.zillow.com/homes/4100-MEADOWRIDGE-DR-CHARLOTTE,-NC-27597_rb/"
13720,"https://www.zillow.com/homes/3500-MCKEE-RD-CHARLOTTE,-NC-27604_rb/"
13721,"https://www.zillow.com/homes/2321-KINGSBURY-DR-CHARLOTTE,-NC-27604_rb/"
13722,"https://www.zillow.com/homes/2313-COMMONWEALTH-AV-CHARLOTTE,-NC-28001_rb/"
13723,"https://www.zillow.com/homes/1217-BELROSE-LN-CHARLOTTE,-NC-28001_rb/"
13724,"https://www.zillow.com/homes/6017-BROOKHAVEN-RD-CHARLOTTE,-NC-28012_rb/"
13725,"https://www.zillow.com/homes/329-WALNUT-AV-CHARLOTTE,-NC-28025_rb/"
13726,"https://www.zillow.com/homes/4926-ZEPHYR-LN-CHARLOTTE,-NC-28025_rb/"
13727,"https://www.zillow.com/homes/753-BROCKBANK-RD-CHARLOTTE,-NC-28027_rb/"
13728,"https://www.zillow.com/homes/212-STATE-ST-CHARLOTTE,-NC-28027_rb/"
13729,"https://www.zillow.com/homes/6417-LONG-MEADOW-RD-CHARLOTTE,-NC-28031_rb/"
13730,"https://www.zillow.com/homes/3531-ROUND-OAK-RD-CHARLOTTE,-NC-28031_rb/"
13731,"https://www.zillow.com/homes/620-REYNOLDS-DR-CHARLOTTE,-NC-28031_rb/"
13732,"https://www.zillow.com/homes/5416-CHEDWORTH-DR-CHARLOTTE,-NC-28034_rb/"
13733,"https://www.zillow.com/homes/2316-BAY-ST-CHARLOTTE,-NC-28037_rb/"
13734,"https://www.zillow.com/homes/2615-COMMONWEALTH-AV-CHARLOTTE,-NC-28075_rb/"
13735,"https://www.zillow.com/homes/3216-WESTON-ST-CHARLOTTE,-NC-28078_rb/"
13736,"https://www.zillow.com/homes/821-E-35TH-ST-CHARLOTTE,-NC-28081_rb/"
13737,"https://www.zillow.com/homes/723-BELTON-ST-CHARLOTTE,-NC-28104_rb/"
13738,"https://www.zillow.com/homes/1945-WOODCREST-AV-CHARLOTTE,-NC-28105_rb/"
13739,"https://www.zillow.com/homes/6110-E-W-T-HARRIS-BV-CHARLOTTE,-NC-28105_rb/"
13740,"https://www.zillow.com/homes/6920-ST-PETER'S-LN-CHARLOTTE,-NC-28105_rb/"
13741,"https://www.zillow.com/homes/101-MCALWAY-RD-CHARLOTTE,-NC-28105_rb/"
13742,"https://www.zillow.com/homes/2016-KENSINGTON-DR-CHARLOTTE,-NC-28105_rb/"
13743,"https://www.zillow.com/homes/2611-FORT-ST-CHARLOTTE,-NC-28105_rb/"
13744,"https://www.zillow.com/homes/1714-CHESTNUT-AV-CHARLOTTE,-NC-28105_rb/"
13745,"https://www.zillow.com/homes/512-WEBSTER-PL-CHARLOTTE,-NC-28107_rb/"
13746,"https://www.zillow.com/homes/1319-EAST-BARDEN-RD-CHARLOTTE,-NC-28112_rb/"
13747,"https://www.zillow.com/homes/525-BELTON-ST-CHARLOTTE,-NC-28117_rb/"
13748,"https://www.zillow.com/homes/4330-WALKER-RD-CHARLOTTE,-NC-28147_rb/"
13749,"https://www.zillow.com/homes/9263-DEER-SPRING-LN-CHARLOTTE,-NC-28173_rb/"
13750,"https://www.zillow.com/homes/5101-HUNT-STAND-LN-CHARLOTTE,-NC-28173_rb/"
13751,"https://www.zillow.com/homes/5604-IVYGATE-LN-CHARLOTTE,-NC-28173_rb/"
13752,"https://www.zillow.com/homes/9241-HEMINGFORD-CT-CHARLOTTE,-NC-28173_rb/"
13753,"https://www.zillow.com/homes/7420-NICOLE-CR-CHARLOTTE,-NC-28173_rb/"
13754,"https://www.zillow.com/homes/3925-BELLINGHAM-LN-CHARLOTTE,-NC-28201_rb/"
13755,"https://www.zillow.com/homes/1904-WOODCREST-AV-CHARLOTTE,-NC-28202_rb/"
13756,"https://www.zillow.com/homes/427-E-22ND-ST-CHARLOTTE,-NC-28202_rb/"
13758,"https://www.zillow.com/homes/630-GRANDIN-RD-CHARLOTTE,-NC-28202_rb/"
13765,"https://www.zillow.com/homes/6910-ABBOTSWOOD-DR-CHARLOTTE,-NC-28202_rb/"
13770,"https://www.zillow.com/homes/524-GREYSTONE-RD-CHARLOTTE,-NC-28203_rb/"
13773,"https://www.zillow.com/homes/3712-ANNLIN-AV-CHARLOTTE,-NC-28203_rb/"
13776,"https://www.zillow.com/homes/2429-BAY-ST-CHARLOTTE,-NC-28203_rb/"
13779,"https://www.zillow.com/homes/4300-CASTLETON-RD-CHARLOTTE,-NC-28203_rb/"
13780,"https://www.zillow.com/homes/3636-CONWAY-AV-CHARLOTTE,-NC-28203_rb/"
13785,"https://www.zillow.com/homes/6620-BRYNWOOD-DR-CHARLOTTE,-NC-28203_rb/"
13792,"https://www.zillow.com/homes/4019-SHARON-VIEW-RD-CHARLOTTE,-NC-28203_rb/"
13805,"https://www.zillow.com/homes/224-AUTEN-ST-CHARLOTTE,-NC-28203_rb/"
13806,"https://www.zillow.com/homes/800-HARTNESS-AV-CHARLOTTE,-NC-28203_rb/"
13807,"https://www.zillow.com/homes/245-SHASTA-LN-CHARLOTTE,-NC-28203_rb/"
